sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value,videoTime
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:28:18+03:00,2024-08-02 12:28:16+03:00,2024-08-02 12:28:16+03:00,122.0,2.0
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:28:22+03:00,2024-08-02 12:28:19+03:00,2024-08-02 12:28:19+03:00,118.0,5.0
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:28:27+03:00,2024-08-02 12:28:22+03:00,2024-08-02 12:28:22+03:00,118.0,8.0
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:28:32+03:00,2024-08-02 12:28:27+03:00,2024-08-02 12:28:27+03:00,125.0,13.0
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:28:47+03:00,2024-08-02 12:28:45+03:00,2024-08-02 12:28:45+03:00,140.0,31.0
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:28:52+03:00,2024-08-02 12:28:51+03:00,2024-08-02 12:28:51+03:00,140.0,37.0
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:28:57+03:00,2024-08-02 12:28:53+03:00,2024-08-02 12:28:53+03:00,140.0,39.0
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:29:02+03:00,2024-08-02 12:28:57+03:00,2024-08-02 12:28:57+03:00,142.0,43.0
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:29:07+03:00,2024-08-02 12:29:05+03:00,2024-08-02 12:29:05+03:00,147.0,51.0
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:29:12+03:00,2024-08-02 12:29:07+03:00,2024-08-02 12:29:07+03:00,148.0,53.0
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:29:17+03:00,2024-08-02 12:29:16+03:00,2024-08-02 12:29:16+03:00,152.0,62.0
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:29:21+03:00,2024-08-02 12:29:17+03:00,2024-08-02 12:29:17+03:00,152.0,63.0
